Hash Implementation,chunk,lf 0.1 valid,lf 0.1 empty,lf 0.3 valid,lf 0.3 empty,lf 0.5 valid,lf 0.5 empty,lf 0.7 valid,lf 0.7 empty,lf 0.9 valid,lf 0.9 empty
Cuckoo,43,13,957,23,1855,55,1943,80,1918,91,1907
Cuckoo,44,12,958,36,1842,56,1942,72,1926,88,1910
Cuckoo,45,5,965,21,1857,45,1953,69,1929,77,1921
Cuckoo,46,11,959,33,1845,42,1956,65,1933,80,1918
Cuckoo,47,14,956,38,1840,54,1944,69,1929,95,1903
Cuckoo,48,12,958,21,1857,51,1947,74,1924,94,1904
Cuckoo,49,6,964,26,1852,48,1950,73,1925,91,1907
Cuckoo,50,12,958,32,1846,50,1948,69,1929,84,1914
Cuckoo,51,12,958,25,1853,42,1956,68,1930,87,1911
Cuckoo,52,10,960,31,1847,62,1936,85,1913,108,1890
Cuckoo,53,6,964,30,1848,46,1952,64,1934,93,1905
Cuckoo,54,9,961,23,1855,53,1945,65,1933,90,1908
Cuckoo,55,9,961,26,1852,55,1943,84,1914,107,1891
Cuckoo,56,8,962,34,1844,42,1956,69,1929,84,1914
Cuckoo,57,12,958,35,1843,49,1949,66,1932,94,1904
Cuckoo,58,11,959,27,1851,45,1953,68,1930,89,1909
Cuckoo,59,6,964,29,1849,56,1942,73,1925,95,1903
Cuckoo,60,13,957,31,1847,59,1939,77,1921,94,1904
Cuckoo,61,9,961,22,1856,46,1952,62,1936,84,1914
Cuckoo,62,6,964,23,1855,56,1942,78,1920,101,1897
Cuckoo,63,4,966,30,1848,52,1946,74,1924,103,1895
Cuckoo,64,18,952,31,1847,52,1946,64,1934,86,1912
Cuckoo,65,13,957,24,1854,62,1936,87,1911,98,1900
Cuckoo,66,7,963,41,1837,46,1952,62,1936,87,1911
Cuckoo,67,9,961,31,1847,56,1942,79,1919,96,1902
Cuckoo,68,13,957,19,1859,47,1951,65,1933,88,1910
Cuckoo,69,15,955,33,1845,55,1943,81,1917,102,1896
Cuckoo,70,14,956,26,1852,45,1953,66,1932,86,1912
Cuckoo,71,7,963,32,1846,51,1947,65,1933,84,1914
Cuckoo,72,11,959,23,1855,66,1932,87,1911,114,1884
Cuckoo,73,9,961,33,1845,58,1940,82,1916,104,1894
Cuckoo,74,5,965,32,1846,54,1944,78,1920,98,1900
Cuckoo,75,11,959,25,1853,53,1945,75,1923,96,1902
Cuckoo,76,4,966,41,1837,47,1951,62,1936,86,1912
Cuckoo,77,9,961,34,1844,48,1950,72,1926,87,1911
Cuckoo,78,16,954,33,1845,53,1945,79,1919,93,1905
Cuckoo,79,8,962,32,1846,56,1942,72,1926,91,1907
Cuckoo,80,12,958,27,1851,45,1953,64,1934,85,1913
Cuckoo,81,7,963,30,1848,42,1956,57,1941,84,1914
Cuckoo,82,13,957,23,1855,40,1958,62,1936,81,1917
Cuckoo,83,7,963,28,1850,54,1944,74,1924,100,1898
Cuckoo,84,12,958,39,1839,44,1954,64,1934,79,1919
Cuckoo,85,15,955,31,1847,47,1951,63,1935,85,1913
Cuckoo,86,11,959,19,1859,37,1961,61,1937,79,1919
Cuckoo,87,8,962,28,1850,54,1944,70,1928,90,1908
Cuckoo,88,11,959,21,1857,40,1958,60,1938,84,1914
Cuckoo,89,13,957,28,1850,56,1942,71,1927,95,1903
Cuckoo,90,6,964,31,1847,41,1957,61,1937,82,1916
Cuckoo,91,10,960,19,1859,49,1949,65,1933,87,1911
Cuckoo,92,9,961,19,1859,51,1947,70,1928,81,1917
Cuckoo,93,10,960,33,1845,51,1947,74,1924,93,1905
Cuckoo,94,12,958,25,1853,60,1938,79,1919,104,1894
Cuckoo,95,13,957,33,1845,46,1952,59,1939,77,1921
Cuckoo,96,11,959,28,1850,49,1949,75,1923,97,1901
Cuckoo,97,13,957,31,1847,56,1942,75,1923,96,1902
Cuckoo,98,12,958,26,1852,37,1961,55,1943,71,1927
Cuckoo,99,7,861,22,1674,53,1823,74,1802,91,1785
